,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tb095811zhwiki,,,,,,,,,,,,2152.0,10453.0,2202.0,451.0,0.0
Techyan,,,,,,,,,,4.0,1325.0,1388.0,2192.0,6687.0,2446.0,1435.0
Temp3600,,,,,,,,15.0,0.0,179.0,773.0,2291.0,1794.0,703.0,1706.0,205.0
The_powder_toy,,,,,,,,,,,2060.0,2134.0,386.0,35.0,160.0,0.0
Theodore_Xu,,,,,,,,,,,,,,,3146.0,1567.0
Tigerzeng,,,,,,,,,,,,1045.0,1580.0,5091.0,6531.0,1981.0
Vanished user 1929210,,,,,,,,,,,,,84.0,4211.0,3785.0,0.0
Vinct_1998,,,,,,,,,,,5.0,589.0,343.0,99.0,153.0,9.0
WAN233,,,,,,,,,,,,,,194.0,891.0,32.0
WQL,,,,,,,,,,,66.0,117.0,53.0,99.0,6948.0,5403.0
Waihorace,,,,,,200.0,2085.0,21073.0,12664.0,8323.0,4234.0,145.0,126.0,123.0,129.0,0.0
Walter_Grassroot,,,,,,139.0,11823.0,10552.0,12001.0,18987.0,10008.0,10877.0,7567.0,2447.0,11661.0,5998.0
Wcam,,,,,187.0,2880.0,9818.0,2903.0,145.0,216.0,787.0,1456.0,5903.0,6880.0,8764.0,2800.0
Wetrace,,,,,,,,,,3118.0,3979.0,2083.0,4486.0,4303.0,659.0,352.0
Whaterss,,,,,,,,,,,,852.0,2594.0,0.0,665.0,0.0
WhitePhosphorus,,,,,,,,,,,,2233.0,916.0,358.0,8935.0,617.0
Wikijjj0001,,,,,,,,,,,,,,1513.0,633.0,1.0
Wildcursive,,,,,,163.0,24.0,25.0,3165.0,4583.0,9031.0,3146.0,1732.0,1735.0,887.0,498.0
WilliamSkyWalk,,,,,,,,,,93.0,105.0,35.0,6.0,4219.0,474.0,16.0
Winertai,,,,16394.0,6521.0,3234.0,1835.0,1163.0,2510.0,413.0,411.0,199.0,303.0,356.0,284.0,54.0
Wolfch,,,,1194.0,988.0,262.0,3377.0,6160.0,6484.0,6940.0,10858.0,9208.0,9894.0,13392.0,15641.0,4037.0
Wong128hk,,,,408.0,4410.0,6146.0,11134.0,2476.0,3278.0,821.0,1191.0,1249.0,1798.0,282.0,8499.0,2455.0
Xiplus,,,,,,,,2.0,1.0,50.0,2072.0,202.0,27.0,8348.0,16326.0,5127.0
Y814756748,,,,,,,,,,,3059.0,2538.0,1426.0,1428.0,800.0,757.0
You_are_my_everything_Taipei,,,,,,,,,,,,,,,567.0,17.0
Z1148059382,,,,,,,,,,1.0,121.0,2.0,9.0,1.0,19.0,0.0
Z7504,,,,,,,,,,,,708.0,1355.0,6690.0,16860.0,5798.0
ZEdzEd3168,,,,,,,,,,,,,,163.0,2870.0,377.0
Zhangguozhen,,,,,,,,,,,,,,183.0,55.0,1.0
Zhanghui66,,,,,,,,,,,,14.0,20.0,197.0,47.0,29.0
Zhangzj_cet,,,,,,,,10.0,24.0,211.0,1148.0,879.0,1063.0,183.0,237.0,54.0
Zhxy_519,,,1.0,40.0,645.0,1561.0,2108.0,2435.0,3563.0,3188.0,1103.0,1756.0,485.0,348.0,718.0,44.0
丁子君,,,,,,,,,,,,,,1134.0,1061.0,70.0
佛壁灯,,,,,,,,,,,,,31.0,31.0,594.0,71.0
写字板,,,,,,,,,,,,,3068.0,1159.0,674.0,11.0
南极熊,,,,,,,,,,,,,,1425.0,1537.0,1199.0
卡達,,,,,,1.0,0.0,0.0,7.0,23.0,49.0,298.0,1376.0,1203.0,3757.0,813.0
和平奮鬥救地球,,,,,,,,,,,9.0,1684.0,20252.0,22172.0,3946.0,0.0
嘀嘀嘀,,,,,,,,,,,,70.0,275.0,32.0,7.0,0.0
坚决杀毒2008,,,,,,,,,,,,,279.0,1383.0,289.0,249.0
太子太保啦啦,,,,,,,,,,,,1450.0,3220.0,1220.0,987.0,549.0
守望者爱孟,,,,,,,,,,,7024.0,170.0,0.0,26.0,1043.0,0.0
宋世怡,,,,,,,,,,,,,,19.0,789.0,111.0
宋仲慧,,,,,,,,,,,,,,650.0,330.0,36.0
小躍,,,,,,,2092.0,266.0,2010.0,178.0,412.0,2171.0,12379.0,12817.0,5003.0,905.0
彭鹏,,,1479.0,289.0,617.0,662.0,430.0,847.0,3731.0,962.0,1141.0,1926.0,179.0,97.0,630.0,336.0
我乃野云鹤,,,,,,,,,,28.0,719.0,1378.0,135.0,0.0,1164.0,333.0
星巴克女王,,,,,,,,,,,,,762.0,2420.0,8664.0,270.0
星耀晨曦,,,,,,,,,,,,,,1985.0,1842.0,212.0
春卷柯南,,,,,21.0,828.0,534.0,123.0,1466.0,624.0,1424.0,2976.0,3939.0,2914.0,2108.0,537.0
暖城2016-02-05,,,,,,,,,,,,,,4234.0,8097.0,95.0
李4,,,,,,,,,,,,,3711.0,2516.0,370.0,0.0
杰里毛斯,,,,,,,,,,,,,,,1281.0,19.0
樑桂,,,,,,,,,,169.0,601.0,405.0,24.0,636.0,1200.0,14.0
武藏,,,,4260.0,4687.0,86.0,28.0,15.0,788.0,1326.0,1450.0,617.0,964.0,270.0,747.0,75.0
油条烧饼麻花,,,,,,,,,,,12.0,43.0,631.0,864.0,361.0,127.0
淺藍雪,,,,,,,61.0,43.0,15.0,726.0,11703.0,8476.0,13320.0,9012.0,6949.0,3380.0
瑞丽江的河水,,,,,,,,,,,,,,37.0,9097.0,7525.0
申花蓝血人,,,,,,,,,,,,18.0,40.0,613.0,181.0,187.0
石家庄小伙,,,,,,,,,,255.0,58.0,9.0,60.0,32.0,4.0,99.0
空间的拓荒者,,,,,,,,,,,,298.0,284.0,132.0,1354.0,123.0
老陳,,,,,540.0,2641.0,3099.0,1720.0,2534.0,3792.0,3531.0,2420.0,2367.0,2822.0,1980.0,169.0
胡蘿蔔,,,,,,,,14.0,652.0,198.0,3090.0,6585.0,19219.0,9393.0,3992.0,1100.0
脳内補完,,,,,10.0,0.0,0.0,0.0,0.0,225.0,962.0,441.0,35.0,54.0,155.0,21.0
苏你妹~,,,,,,,,,,,1.0,1239.0,3576.0,2691.0,837.0,70.0
范,,,,,,,,,,4429.0,8748.0,7094.0,5729.0,1290.0,29.0,0.0
葉又嘉,,,,,,,,,,,,,2690.0,6154.0,4403.0,907.0
蘇州宇文宙武,,,,15.0,6672.0,1079.0,12602.0,0.0,215.0,4852.0,5635.0,4579.0,2725.0,2223.0,675.0,236.0
蘭斯特,,,,,,,,,,,,,63.0,47.0,17329.0,1230.0
追迹未来,,,,,,,,,,,,5.0,2367.0,1441.0,13.0,0.0
金善賢,,,,,,,,,,83.0,2389.0,1671.0,111.0,236.0,484.0,39.0
金牌雄鹰,,,,,,,,,,,,,240.0,184.0,465.0,21.0
霧島聖,,,,,,,,,,,903.0,408.0,3050.0,4696.0,1732.0,643.0
飞贼燕子,,,,,,,,,,,,4645.0,976.0,417.0,905.0,129.0
香港中立人,,,,,,,,,,,,,,324.0,47.0,1.0
骑鹿的阿瑟先生,,,,,,,,,,,,,,,641.0,199.0
鱼头炮,,,,,,,,,,,,,,,2324.0,49.0
